basis,regime,mean_bps,std_bps,median_bps,min_bps,max_bps,count
USD-USDT,Pre-SVB (Mar 1-9),0.2934,2.9901,0.2727,-18.8703,56.5824,12684
USD-USDT,SVB crisis (Mar 10-13),56.6414,41.6127,55.0148,-16.4322,190.3909,5760
USD-USDT,Post-SVB (Mar 14-21),32.8576,9.8554,31.488,-31.7606,84.1755,11520
USD-USDC,Pre-SVB (Mar 1-9),-0.0247,3.6823,-0.0089,-29.9849,34.6558,12693
USD-USDC,SVB crisis (Mar 10-13),-248.5823,309.1948,-101.6436,-1424.9106,66.946,5760
USD-USDC,Post-SVB (Mar 14-21),-1.1961,9.7828,-1.2364,-117.0995,94.1023,11520
USDT-USDC,Pre-SVB (Mar 1-9),-0.3183,4.3981,-0.2953,-55.1479,32.1697,12684
USDT-USDC,SVB crisis (Mar 10-13),-307.7212,332.3665,-144.1202,-1502.5439,40.137,5760
USDT-USDC,Post-SVB (Mar 14-21),-34.1761,14.1565,-32.8293,-179.6652,36.6646,11520
